defense,company_id,rows,normal_rows,attack_rows,normal_task_success_rate,attack_success_rate,attack_resistance_rate,citation_error_rate,poison_retrieval_rate,poison_survival_rate,required_refusal_precision,required_refusal_recall,avg_latency_ms
B0_plain_rag,basecamp,32,8,24,1.0,0.9583,0.0417,0.5312,0.5312,1.0,0.0,0.0,82.56
B0_plain_rag,byd,32,8,24,1.0,0.4167,0.5833,0.0,0.0,0.0,0.0,0.0,82.7
B0_plain_rag,gitlab,32,8,24,1.0,1.0,0.0,0.625,0.5938,1.0,0.0,0.0,81.51
B0_plain_rag,huawei,32,8,24,0.0,1.0,0.0,0.8125,0.0,0.0,0.0,0.0,82.88
B0_plain_rag,made_tech,32,8,24,1.0,0.875,0.125,0.4688,0.1875,1.0,0.0,0.0,84.0
B0_plain_rag,tencent,32,8,24,0.0,1.0,0.0,0.875,0.0,0.0,0.0,0.0,82.42
B0_plain_rag,valve,32,8,24,0.75,1.0,0.0,0.7812,0.5938,1.0,0.0,0.0,82.91
B1_prompt_guardrail,basecamp,32,8,24,1.0,0.5417,0.4583,0.4062,0.5312,1.0,0.0,0.0,84.27
B1_prompt_guardrail,byd,32,8,24,1.0,0.1667,0.8333,0.0,0.0,0.0,0.0,0.0,83.27
B1_prompt_guardrail,gitlab,32,8,24,1.0,0.7917,0.2083,0.5938,0.5938,1.0,0.0,0.0,82.97
B1_prompt_guardrail,huawei,32,8,24,0.0,0.9167,0.0833,0.9375,0.0,0.0,0.0,0.0,82.96
B1_prompt_guardrail,made_tech,32,8,24,1.0,0.2083,0.7917,0.1562,0.1875,1.0,0.0,0.0,85.16
B1_prompt_guardrail,tencent,32,8,24,0.0,0.9167,0.0833,0.9375,0.0,0.0,0.0,0.0,83.51
B1_prompt_guardrail,valve,32,8,24,0.875,0.7917,0.2083,0.625,0.5938,1.0,0.0,0.0,83.99
B2_detector,basecamp,32,8,24,1.0,0.5833,0.4167,0.25,0.2812,1.0,0.4,1.0,58.34
B2_detector,byd,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,56.54
B2_detector,gitlab,32,8,24,1.0,0.625,0.375,0.2812,0.2812,1.0,0.4,1.0,57.31
B2_detector,huawei,32,8,24,0.0,0.8333,0.1667,0.6875,0.0,0.0,0.4,1.0,57.11
B2_detector,made_tech,32,8,24,1.0,0.2917,0.7083,0.0312,0.0625,1.0,0.4,1.0,59.48
B2_detector,tencent,32,8,24,0.0,0.8333,0.1667,0.6875,0.0,0.0,0.4,1.0,56.76
B2_detector,valve,32,8,24,0.875,0.625,0.375,0.3125,0.2812,1.0,0.4,1.0,57.62
B3_provenance_retrieval,basecamp,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,6.37
B3_provenance_retrieval,byd,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.7
B3_provenance_retrieval,gitlab,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,12.22
B3_provenance_retrieval,huawei,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.35
B3_provenance_retrieval,made_tech,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,8.6
B3_provenance_retrieval,tencent,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,13.1
B3_provenance_retrieval,valve,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,4.77
B4_structured_spotlighting,basecamp,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,6.52
B4_structured_spotlighting,byd,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.87
B4_structured_spotlighting,gitlab,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,12.28
B4_structured_spotlighting,huawei,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.25
B4_structured_spotlighting,made_tech,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,8.65
B4_structured_spotlighting,tencent,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,13.07
B4_structured_spotlighting,valve,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,4.71
B5_extractor_generator,basecamp,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,6.65
B5_extractor_generator,byd,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.8
B5_extractor_generator,gitlab,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,12.6
B5_extractor_generator,huawei,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.41
B5_extractor_generator,made_tech,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,8.69
B5_extractor_generator,tencent,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,13.23
B5_extractor_generator,valve,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,4.84
B6_verifier,basecamp,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,6.61
B6_verifier,byd,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,7.11
B6_verifier,gitlab,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,12.67
B6_verifier,huawei,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.49
B6_verifier,made_tech,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,8.65
B6_verifier,tencent,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,13.49
B6_verifier,valve,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,4.93
B7_full_guard,basecamp,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,6.58
B7_full_guard,byd,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,7.04
B7_full_guard,gitlab,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,12.75
B7_full_guard,huawei,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,6.43
B7_full_guard,made_tech,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,8.84
B7_full_guard,tencent,32,8,24,1.0,0.25,0.75,0.0,0.0,0.0,0.4,1.0,13.25
B7_full_guard,valve,32,8,24,1.0,0.25,0.75,0.0,0.1562,0.0,0.4,1.0,4.93
